Топшириқлар рўйхати,,,,,,, 28/72,5/20,,,,,
,,,,Маъсул бўлим,Жами,Жараёнда,Муддати бузилган,,,,,,
415,FALSE,,,,,,,,0,0,0,0,
416,FALSE,,,,,,,,0,0,0,0,
417,FALSE,,,,,,,,0,0,0,0,
418,FALSE,,,,,,,,0,0,0,0,
419,FALSE,,,,,,,,0,0,0,0,
420,FALSE,,,,,,,,0,0,0,0,
421,FALSE,,,,,,,,0,0,0,0,
422,FALSE,,,,,,,,0,0,0,0,
423,FALSE,,,,,,,,0,0,0,0,
424,FALSE,,,,,,,,0,0,0,0,
425,FALSE,,,,,,,,0,0,0,0,
426,FALSE,,,,,,,,0,0,0,0,
427,FALSE,,,,,,,,0,0,0,0,
428,FALSE,,,,,,,,0,0,0,0,
429,FALSE,,,,,,,,0,0,0,0,
430,FALSE,,,,,,,,0,0,0,0,
431,FALSE,,,,,,,,0,0,0,0,
432,FALSE,,,,,,,,0,0,0,0,
433,FALSE,,,,,,,,0,0,0,0,
434,FALSE,,,,,,,,0,0,0,0,
435,FALSE,,,,,,,,0,0,0,0,
436,FALSE,,,,,,,,0,0,0,0,
437,FALSE,,,,,,,,0,0,0,0,
438,FALSE,,,,,,,,0,0,0,0,
439,FALSE,,,,,,,,0,0,0,0,
440,FALSE,,,,,,,,0,0,0,0,
441,FALSE,,,,,,,,0,0,0,0,
442,FALSE,,,,,,,,0,0,0,0,
443,FALSE,,,,,,,,0,0,0,0,
444,FALSE,,,,,,,,0,0,0,0,
445,FALSE,,,,,,,,0,0,0,0,
446,FALSE,,,,,,,,0,0,0,0,
447,FALSE,,,,,,,,0,0,0,0,
448,FALSE,,,,,,,,0,0,0,0,
449,FALSE,,,,,,,,0,0,0,0,
450,FALSE,,,,,,,,0,0,0,0,
451,FALSE,,,,,,,,0,0,0,0,
452,FALSE,,,,,,,,0,0,0,0,
453,FALSE,,,,,,,,0,0,0,0,
454,FALSE,,,,,,,,0,0,0,0,
455,FALSE,,,,,,,,0,0,0,0,
456,FALSE,,,,,,,,0,0,0,0,
457,FALSE,,,,,,,,0,0,0,0,
458,FALSE,,,,,,,,0,0,0,0,
459,FALSE,,,,,,,,0,0,0,0,
460,FALSE,,,,,,,,0,0,0,0,
461,FALSE,,,,,,,,0,0,0,0,
462,FALSE,,,,,,,,0,0,0,0,
463,FALSE,,,,,,,,0,0,0,0,
464,FALSE,,,,,,,,0,0,0,0,
465,FALSE,,,,,,,,0,0,0,0,
466,FALSE,,,,,,,,0,0,0,0,
467,FALSE,,,,,,,,0,0,0,0,
468,FALSE,,,,,,,,0,0,0,0,
469,FALSE,,,,,,,,0,0,0,0,
470,FALSE,,,,,,,,0,0,0,0,
471,FALSE,,,,,,,,0,0,0,0,
472,FALSE,,,,,,,,0,0,0,0,
473,FALSE,,,,,,,,0,0,0,0,
474,FALSE,,,,,,,,0,0,0,0,
475,FALSE,,,,,,,,0,0,0,0,
476,FALSE,,,,,,,,0,0,0,0,
477,FALSE,,,,,,,,0,0,0,0,
478,FALSE,,,,,,,,0,0,0,0,
479,FALSE,,,,,,,,0,0,0,0,
480,FALSE,,,,,,,,0,0,0,0,
481,FALSE,,,,,,,,0,0,0,0,
482,FALSE,,,,,,,,0,0,0,0,
483,FALSE,,,,,,,,0,0,0,0,
484,FALSE,,,,,,,,0,0,0,0,
485,FALSE,,,,,,,,0,0,0,0,
486,FALSE,,,,,,,,0,0,0,0,
487,FALSE,,,,,,,,0,0,0,0,
488,FALSE,,,,,,,,0,0,0,0,
489,FALSE,,,,,,,,0,0,0,0,
490,FALSE,,,,,,,,0,0,0,0,
491,FALSE,,,,,,,,0,0,0,0,
492,FALSE,,,,,,,,0,0,0,0,
493,FALSE,,,,,,,,0,0,0,0,
494,FALSE,,,,,,,,0,0,0,0,
495,FALSE,,,,,,,,0,0,0,0,
496,FALSE,,,,,,,,0,0,0,0,
497,FALSE,,,,,,,,0,0,0,0,
498,FALSE,,,,,,,,0,0,0,0,
499,FALSE,,,,,,,,0,0,0,0,
500,FALSE,,,,,,,,0,0,0,0,
501,FALSE,,,,,,,,0,0,0,0,
502,FALSE,,,,,,,,0,0,0,0,
503,FALSE,,,,,,,,0,0,0,0,
504,FALSE,,,,,,,,0,0,0,0,
505,FALSE,,,,,,,,0,0,0,0,
506,FALSE,,,,,,,,0,0,0,0,
507,FALSE,,,,,,,,0,0,0,0,
508,FALSE,,,,,,,,0,0,0,0,
509,FALSE,,,,,,,,0,0,0,0,
510,FALSE,,,,,,,,0,0,0,0,
511,FALSE,,,,,,,,0,0,0,0,
512,FALSE,,,,,,,,0,0,0,0,
513,FALSE,,,,,,,,0,0,0,0,
514,FALSE,,,,,,,,0,0,0,0,
515,FALSE,,,,,,,,0,0,0,0,
516,FALSE,,,,,,,,0,0,0,0,
517,FALSE,,,,,,,,0,0,0,0,
518,FALSE,,,,,,,,0,0,0,0,
519,FALSE,,,,,,,,0,0,0,0,
520,FALSE,,,,,,,,0,0,0,0,
521,FALSE,,,,,,,,0,0,0,0,
522,FALSE,,,,,,,,0,0,0,0,
523,FALSE,,,,,,,,0,0,0,0,
524,FALSE,,,,,,,,0,0,0,0,
525,FALSE,,,,,,,,0,0,0,0,
526,FALSE,,,,,,,,0,0,0,0,
527,FALSE,,,,,,,,0,0,0,0,
528,FALSE,,,,,,,,0,0,0,0,
529,FALSE,,,,,,,,0,0,0,0,
530,FALSE,,,,,,,,0,0,0,0,
531,FALSE,,,,,,,,0,0,0,0,
532,FALSE,,,,,,,,0,0,0,0,
533,FALSE,,,,,,,,0,0,0,0,
534,FALSE,,,,,,,,0,0,0,0,
535,FALSE,,,,,,,,0,0,0,0,
536,FALSE,,,,,,,,0,0,0,0,
537,FALSE,,,,,,,,0,0,0,0,
538,FALSE,,,,,,,,0,0,0,0,
539,FALSE,,,,,,,,0,0,0,0,
540,FALSE,,,,,,,,0,0,0,0,
541,FALSE,,,,,,,,0,0,0,0,
542,FALSE,,,,,,,,0,0,0,0,
543,FALSE,,,,,,,,0,0,0,0,
544,FALSE,,,,,,,,0,0,0,0,
545,FALSE,,,,,,,,0,0,0,0,
546,FALSE,,,,,,,,0,0,0,0,
547,FALSE,,,,,,,,0,0,0,0,
548,FALSE,,,,,,,,0,0,0,0,
549,FALSE,,,,,,,,0,0,0,0,
550,FALSE,,,,,,,,0,0,0,0,
551,FALSE,,,,,,,,0,0,0,0,
552,FALSE,,,,,,,,0,0,0,0,
553,FALSE,,,,,,,,0,0,0,0,
554,FALSE,,,,,,,,0,0,0,0,
555,FALSE,,,,,,,,0,0,0,0,
556,FALSE,,,,,,,,0,0,0,0,
557,FALSE,,,,,,,,0,0,0,0,
558,FALSE,,,,,,,,0,0,0,0,
559,FALSE,,,,,,,,0,0,0,0,
560,FALSE,,,,,,,,0,0,0,0,
561,FALSE,,,,,,,,0,0,0,0,
562,FALSE,,,,,,,,0,0,0,0,
563,FALSE,,,,,,,,0,0,0,0,
564,FALSE,,,,,,,,0,0,0,0,
565,FALSE,,,,,,,,0,0,0,0,
566,FALSE,,,,,,,,0,0,0,0,
567,FALSE,,,,,,,,0,0,0,0,
568,FALSE,,,,,,,,0,0,0,0,
569,FALSE,,,,,,,,0,0,0,0,
570,FALSE,,,,,,,,0,0,0,0,
571,FALSE,,,,,,,,0,0,0,0,
572,FALSE,,,,,,,,0,0,0,0,
573,FALSE,,,,,,,,0,0,0,0,
574,FALSE,,,,,,,,0,0,0,0,
575,FALSE,,,,,,,,0,0,0,0,
576,FALSE,,,,,,,,0,0,0,0,
577,FALSE,,,,,,,,0,0,0,0,
578,FALSE,,,,,,,,0,0,0,0,
579,FALSE,,,,,,,,0,0,0,0,
580,FALSE,,,,,,,,0,0,0,0,
581,FALSE,,,,,,,,0,0,0,0,
582,FALSE,,,,,,,,0,0,0,0,
583,FALSE,,,,,,,,0,0,0,0,
584,FALSE,,,,,,,,0,0,0,0,
585,FALSE,,,,,,,,0,0,0,0,
586,FALSE,,,,,,,,0,0,0,0,
587,FALSE,,,,,,,,0,0,0,0,
588,FALSE,,,,,,,,0,0,0,0,
589,FALSE,,,,,,,,0,0,0,0,
590,FALSE,,,,,,,,0,0,0,0,
591,FALSE,,,,,,,,0,0,0,0,
592,FALSE,,,,,,,,0,0,0,0,
593,FALSE,,,,,,,,0,0,0,0,
594,FALSE,,,,,,,,0,0,0,0,
595,FALSE,,,,,,,,0,0,0,0,
596,FALSE,,,,,,,,0,0,0,0,
597,FALSE,,,,,,,,0,0,0,0,
598,FALSE,,,,,,,,0,0,0,0,
599,FALSE,,,,,,,,0,0,0,0,
600,FALSE,,,,,,,,0,0,0,0,
601,FALSE,,,,,,,,0,0,0,0,
602,FALSE,,,,,,,,0,0,0,0,
603,FALSE,,,,,,,,0,0,0,0,
604,FALSE,,,,,,,,0,0,0,0,
605,FALSE,,,,,,,,0,0,0,0,
606,FALSE,,,,,,,,0,0,0,0,
607,FALSE,,,,,,,,0,0,0,0,
608,FALSE,,,,,,,,0,0,0,0,
609,FALSE,,,,,,,,0,0,0,0,
610,FALSE,,,,,,,,0,0,0,0,
611,FALSE,,,,,,,,0,0,0,0,
612,FALSE,,,,,,,,0,0,0,0,
613,FALSE,,,,,,,,0,0,0,0,
614,FALSE,,,,,,,,0,0,0,0,
615,FALSE,,,,,,,,0,0,0,0,
616,FALSE,,,,,,,,0,0,0,0,
617,FALSE,,,,,,,,0,0,0,0,
618,FALSE,,,,,,,,0,0,0,0,
619,FALSE,,,,,,,,0,0,0,0,
620,FALSE,,,,,,,,0,0,0,0,
621,FALSE,,,,,,,,0,0,0,0,
622,FALSE,,,,,,,,0,0,0,0,
623,FALSE,,,,,,,,0,0,0,0,
624,FALSE,,,,,,,,0,0,0,0,
625,FALSE,,,,,,,,0,0,0,0,
626,FALSE,,,,,,,,0,0,0,0,
627,FALSE,,,,,,,,0,0,0,0,
628,FALSE,,,,,,,,0,0,0,0,
629,FALSE,,,,,,,,0,0,0,0,
630,FALSE,,,,,,,,0,0,0,0,
631,FALSE,,,,,,,,0,0,0,0,
632,FALSE,,,,,,,,0,0,0,0,
633,FALSE,,,,,,,,0,0,0,0,
634,FALSE,,,,,,,,0,0,0,0,
635,FALSE,,,,,,,,0,0,0,0,
636,FALSE,,,,,,,,0,0,0,0,
637,FALSE,,,,,,,,0,0,0,0,
638,FALSE,,,,,,,,0,0,0,0,
639,FALSE,,,,,,,,0,0,0,0,
640,FALSE,,,,,,,,0,0,0,0,
641,FALSE,,,,,,,,0,0,0,0,
642,FALSE,,,,,,,,0,0,0,0,
643,FALSE,,,,,,,,0,0,0,0,
644,FALSE,,,,,,,,0,0,0,0,
645,FALSE,,,,,,,,0,0,0,0,
646,FALSE,,,,,,,,0,0,0,0,
647,FALSE,,,,,,,,0,0,0,0,
648,FALSE,,,,,,,,0,0,0,0,
649,FALSE,,,,,,,,0,0,0,0,
650,FALSE,,,,,,,,0,0,0,0,
651,FALSE,,,,,,,,0,0,0,0,
652,FALSE,,,,,,,,0,0,0,0,
653,FALSE,,,,,,,,0,0,0,0,
654,FALSE,,,,,,,,0,0,0,0,
655,FALSE,,,,,,,,0,0,0,0,
656,FALSE,,,,,,,,0,0,0,0,
657,FALSE,,,,,,,,0,0,0,0,
658,FALSE,,,,,,,,0,0,0,0,
659,FALSE,,,,,,,,0,0,0,0,
660,FALSE,,,,,,,,0,0,0,0,
661,FALSE,,,,,,,,0,0,0,0,
662,FALSE,,,,,,,,0,0,0,0,
663,FALSE,,,,,,,,0,0,0,0,
664,FALSE,,,,,,,,0,0,0,0,
665,FALSE,,,,,,,,0,0,0,0,
666,FALSE,,,,,,,,0,0,0,0,
667,FALSE,,,,,,,,0,0,0,0,
668,FALSE,,,,,,,,0,0,0,0,
669,FALSE,,,,,,,,0,0,0,0,
670,FALSE,,,,,,,,0,0,0,0,
671,FALSE,,,,,,,,0,0,0,0,
672,FALSE,,,,,,,,0,0,0,0,
673,FALSE,,,,,,,,0,0,0,0,
674,FALSE,,,,,,,,0,0,0,0,
675,FALSE,,,,,,,,0,0,0,0,
676,FALSE,,,,,,,,0,0,0,0,
677,FALSE,,,,,,,,0,0,0,0,
678,FALSE,,,,,,,,0,0,0,0,
679,FALSE,,,,,,,,0,0,0,0,
680,FALSE,,,,,,,,0,0,0,0,
681,FALSE,,,,,,,,0,0,0,0,
682,FALSE,,,,,,,,0,0,0,0,
683,FALSE,,,,,,,,0,0,0,0,
684,FALSE,,,,,,,,0,0,0,0,
685,FALSE,,,,,,,,0,0,0,0,
686,FALSE,,,,,,,,0,0,0,0,
687,FALSE,,,,,,,,0,0,0,0,
688,FALSE,,,,,,,,0,0,0,0,
689,FALSE,,,,,,,,0,0,0,0,
690,FALSE,,,,,,,,0,0,0,0,
691,FALSE,,,,,,,,0,0,0,0,
692,FALSE,,,,,,,,0,0,0,0,
693,FALSE,,,,,,,,0,0,0,0,
694,FALSE,,,,,,,,0,0,0,0,
695,FALSE,,,,,,,,0,0,0,0,
696,FALSE,,,,,,,,0,0,0,0,
697,FALSE,,,,,,,,0,0,0,0,
698,FALSE,,,,,,,,0,0,0,0,
699,FALSE,,,,,,,,0,0,0,0,
700,FALSE,,,,,,,,0,0,0,0,
701,FALSE,,,,,,,,0,0,0,0,
702,FALSE,,,,,,,,0,0,0,0,
703,FALSE,,,,,,,,0,0,0,0,
704,FALSE,,,,,,,,0,0,0,0,
705,FALSE,,,,,,,,0,0,0,0,
706,FALSE,,,,,,,,0,0,0,0,
707,FALSE,,,,,,,,0,0,0,0,
708,FALSE,,,,,,,,0,0,0,0,
709,FALSE,,,,,,,,0,0,0,0,
710,FALSE,,,,,,,,0,0,0,0,
711,FALSE,,,,,,,,0,0,0,0,
712,FALSE,,,,,,,,0,0,0,0,
713,FALSE,,,,,,,,0,0,0,0,
714,FALSE,,,,,,,,0,0,0,0,
715,FALSE,,,,,,,,0,0,0,0,
716,FALSE,,,,,,,,0,0,0,0,
717,FALSE,,,,,,,,0,0,0,0,
718,FALSE,,,,,,,,0,0,0,0,
719,FALSE,,,,,,,,0,0,0,0,
720,FALSE,,,,,,,,0,0,0,0,
721,FALSE,,,,,,,,0,0,0,0,
722,FALSE,,,,,,,,0,0,0,0,
723,FALSE,,,,,,,,0,0,0,0,
724,FALSE,,,,,,,,0,0,0,0,
725,FALSE,,,,,,,,0,0,0,0,
726,FALSE,,,,,,,,0,0,0,0,
727,FALSE,,,,,,,,0,0,0,0,
728,FALSE,,,,,,,,0,0,0,0,
729,FALSE,,,,,,,,0,0,0,0,
730,FALSE,,,,,,,,0,0,0,0,
731,FALSE,,,,,,,,0,0,0,0,
732,FALSE,,,,,,,,0,0,0,0,
733,FALSE,,,,,,,,0,0,0,0,
734,FALSE,,,,,,,,0,0,0,0,
735,FALSE,,,,,,,,0,0,0,0,
736,FALSE,,,,,,,,0,0,0,0,
737,FALSE,,,,,,,,0,0,0,0,
738,FALSE,,,,,,,,0,0,0,0,
739,FALSE,,,,,,,,0,0,0,0,
740,FALSE,,,,,,,,0,0,0,0,
741,FALSE,,,,,,,,0,0,0,0,
742,FALSE,,,,,,,,0,0,0,0,
743,FALSE,,,,,,,,0,0,0,0,
744,FALSE,,,,,,,,0,0,0,0,
745,FALSE,,,,,,,,0,0,0,0,
746,FALSE,,,,,,,,0,0,0,0,
747,FALSE,,,,,,,,0,0,0,0,
748,FALSE,,,,,,,,0,0,0,0,
749,FALSE,,,,,,,,0,0,0,0,
750,FALSE,,,,,,,,0,0,0,0,
751,FALSE,,,,,,,,0,0,0,0,
752,FALSE,,,,,,,,0,0,0,0,
753,FALSE,,,,,,,,0,0,0,0,
754,FALSE,,,,,,,,0,0,0,0,
755,FALSE,,,,,,,,0,0,0,0,
756,FALSE,,,,,,,,0,0,0,0,
757,FALSE,,,,,,,,0,0,0,0,
758,FALSE,,,,,,,,0,0,0,0,
759,FALSE,,,,,,,,0,0,0,0,
760,FALSE,,,,,,,,0,0,0,0,
761,FALSE,,,,,,,,0,0,0,0,
762,FALSE,,,,,,,,0,0,0,0,
763,FALSE,,,,,,,,0,0,0,0,
764,FALSE,,,,,,,,0,0,0,0,
765,FALSE,,,,,,,,0,0,0,0,
766,FALSE,,,,,,,,0,0,0,0,
767,FALSE,,,,,,,,0,0,0,0,
768,FALSE,,,,,,,,0,0,0,0,
769,FALSE,,,,,,,,0,0,0,0,
770,FALSE,,,,,,,,0,0,0,0,
771,FALSE,,,,,,,,0,0,0,0,
772,FALSE,,,,,,,,0,0,0,0,
773,FALSE,,,,,,,,0,0,0,0,
774,FALSE,,,,,,,,0,0,0,0,
775,FALSE,,,,,,,,0,0,0,0,
776,FALSE,,,,,,,,0,0,0,0,
777,FALSE,,,,,,,,0,0,0,0,
778,FALSE,,,,,,,,0,0,0,0,
779,FALSE,,,,,,,,0,0,0,0,
780,FALSE,,,,,,,,0,0,0,0,
781,FALSE,,,,,,,,0,0,0,0,
782,FALSE,,,,,,,,0,0,0,0,
783,FALSE,,,,,,,,0,0,0,0,
784,FALSE,,,,,,,,0,0,0,0,
785,FALSE,,,,,,,,0,0,0,0,
786,FALSE,,,,,,,,0,0,0,0,
787,FALSE,,,,,,,,0,0,0,0,
788,FALSE,,,,,,,,0,0,0,0,
789,FALSE,,,,,,,,0,0,0,0,
790,FALSE,,,,,,,,0,0,0,0,
791,FALSE,,,,,,,,0,0,0,0,
792,FALSE,,,,,,,,0,0,0,0,
793,FALSE,,,,,,,,0,0,0,0,
794,FALSE,,,,,,,,0,0,0,0,
795,FALSE,,,,,,,,0,0,0,0,
796,FALSE,,,,,,,,0,0,0,0,
797,FALSE,,,,,,,,0,0,0,0,
798,FALSE,,,,,,,,0,0,0,0,
799,FALSE,,,,,,,,0,0,0,0,
800,FALSE,,,,,,,,0,0,0,0,
801,FALSE,,,,,,,,0,0,0,0,
802,FALSE,,,,,,,,0,0,0,0,
803,FALSE,,,,,,,,0,0,0,0,
804,FALSE,,,,,,,,0,0,0,0,
805,FALSE,,,,,,,,0,0,0,0,
806,FALSE,,,,,,,,0,0,0,0,
807,FALSE,,,,,,,,0,0,0,0,
808,FALSE,,,,,,,,0,0,0,0,
809,FALSE,,,,,,,,0,0,0,0,
810,FALSE,,,,,,,,0,0,0,0,
811,FALSE,,,,,,,,0,0,0,0,
812,FALSE,,,,,,,,0,0,0,0,
813,FALSE,,,,,,,,0,0,0,0,
814,FALSE,,,,,,,,0,0,0,0,
815,FALSE,,,,,,,,0,0,0,0,
816,FALSE,,,,,,,,0,0,0,0,
817,FALSE,,,,,,,,0,0,0,0,
818,FALSE,,,,,,,,0,0,0,0,
819,FALSE,,,,,,,,0,0,0,0,
820,FALSE,,,,,,,,0,0,0,0,
821,FALSE,,,,,,,,0,0,0,0,
822,FALSE,,,,,,,,0,0,0,0,
823,FALSE,,,,,,,,0,0,0,0,
824,FALSE,,,,,,,,0,0,0,0,
825,FALSE,,,,,,,,0,0,0,0,
826,FALSE,,,,,,,,0,0,0,0,
827,FALSE,,,,,,,,0,0,0,0,
828,FALSE,,,,,,,,0,0,0,0,
829,FALSE,,,,,,,,0,0,0,0,
830,FALSE,,,,,,,,0,0,0,0,
831,FALSE,,,,,,,,0,0,0,0,
832,FALSE,,,,,,,,0,0,0,0,
833,FALSE,,,,,,,,0,0,0,0,
834,FALSE,,,,,,,,0,0,0,0,
835,FALSE,,,,,,,,0,0,0,0,
836,FALSE,,,,,,,,0,0,0,0,
837,FALSE,,,,,,,,0,0,0,0,
838,FALSE,,,,,,,,0,0,0,0,
839,FALSE,,,,,,,,0,0,0,0,
840,FALSE,,,,,,,,0,0,0,0,
841,FALSE,,,,,,,,0,0,0,0,
842,FALSE,,,,,,,,0,0,0,0,
843,FALSE,,,,,,,,0,0,0,0,
844,FALSE,,,,,,,,0,0,0,0,
845,FALSE,,,,,,,,0,0,0,0,
846,FALSE,,,,,,,,0,0,0,0,
847,FALSE,,,,,,,,0,0,0,0,
848,FALSE,,,,,,,,0,0,0,0,
849,FALSE,,,,,,,,0,0,0,0,
850,FALSE,,,,,,,,0,0,0,0,
851,FALSE,,,,,,,,0,0,0,0,
852,FALSE,,,,,,,,0,0,0,0,
853,FALSE,,,,,,,,0,0,0,0,
854,FALSE,,,,,,,,0,0,0,0,
855,FALSE,,,,,,,,0,0,0,0,
856,FALSE,,,,,,,,0,0,0,0,
857,FALSE,,,,,,,,0,0,0,0,
858,FALSE,,,,,,,,0,0,0,0,
859,FALSE,,,,,,,,0,0,0,0,
860,FALSE,,,,,,,,0,0,0,0,
861,FALSE,,,,,,,,0,0,0,0,
862,FALSE,,,,,,,,0,0,0,0,
863,FALSE,,,,,,,,0,0,0,0,
864,FALSE,,,,,,,,0,0,0,0,
865,FALSE,,,,,,,,0,0,0,0,
866,FALSE,,,,,,,,0,0,0,0,
867,FALSE,,,,,,,,0,0,0,0,
868,FALSE,,,,,,,,0,0,0,0,
869,FALSE,,,,,,,,0,0,0,0,
870,FALSE,,,,,,,,0,0,0,0,
871,FALSE,,,,,,,,0,0,0,0,
872,FALSE,,,,,,,,0,0,0,0,
873,FALSE,,,,,,,,0,0,0,0,
874,FALSE,,,,,,,,0,0,0,0,
875,FALSE,,,,,,,,0,0,0,0,
876,FALSE,,,,,,,,0,0,0,0,
877,FALSE,,,,,,,,0,0,0,0,
878,FALSE,,,,,,,,0,0,0,0,
879,FALSE,,,,,,,,0,0,0,0,
880,FALSE,,,,,,,,0,0,0,0,
881,FALSE,,,,,,,,0,0,0,0,
882,FALSE,,,,,,,,0,0,0,0,
883,FALSE,,,,,,,,0,0,0,0,
884,FALSE,,,,,,,,0,0,0,0,
885,FALSE,,,,,,,,0,0,0,0,
886,FALSE,,,,,,,,0,0,0,0,
887,FALSE,,,,,,,,0,0,0,0,
888,FALSE,,,,,,,,0,0,0,0,
889,FALSE,,,,,,,,0,0,0,0,
890,FALSE,,,,,,,,0,0,0,0,
891,FALSE,,,,,,,,0,0,0,0,
892,FALSE,,,,,,,,0,0,0,0,
893,FALSE,,,,,,,,0,0,0,0,
894,FALSE,,,,,,,,0,0,0,0,
895,FALSE,,,,,,,,0,0,0,0,
896,FALSE,,,,,,,,0,0,0,0,
897,FALSE,,,,,,,,0,0,0,0,
898,FALSE,,,,,,,,0,0,0,0,
899,FALSE,,,,,,,,0,0,0,0,
900,FALSE,,,,,,,,0,0,0,0,
901,FALSE,,,,,,,,0,0,0,0,
902,FALSE,,,,,,,,0,0,0,0,
903,FALSE,,,,,,,,0,0,0,0,
904,FALSE,,,,,,,,0,0,0,0,
905,FALSE,,,,,,,,0,0,0,0,
906,FALSE,,,,,,,,0,0,0,0,
907,FALSE,,,,,,,,0,0,0,0,
908,FALSE,,,,,,,,0,0,0,0,
909,FALSE,,,,,,,,0,0,0,0,
910,FALSE,,,,,,,,0,0,0,0,
911,FALSE,,,,,,,,0,0,0,0,
912,FALSE,,,,,,,,0,0,0,0,
913,FALSE,,,,,,,,0,0,0,0,
914,FALSE,,,,,,,,0,0,0,0,
915,FALSE,,,,,,,,0,0,0,0,
916,FALSE,,,,,,,,0,0,0,0,
917,FALSE,,,,,,,,0,0,0,0,
918,FALSE,,,,,,,,0,0,0,0,
919,FALSE,,,,,,,,0,0,0,0,
920,FALSE,,,,,,,,0,0,0,0,
921,FALSE,,,,,,,,0,0,0,0,
922,FALSE,,,,,,,,0,0,0,0,
923,FALSE,,,,,,,,0,0,0,0,
924,FALSE,,,,,,,,0,0,0,0,
925,FALSE,,,,,,,,0,0,0,0,
926,FALSE,,,,,,,,0,0,0,0,
927,FALSE,,,,,,,,0,0,0,0,
928,FALSE,,,,,,,,0,0,0,0,
929,FALSE,,,,,,,,0,0,0,0,
930,FALSE,,,,,,,,0,0,0,0,
931,FALSE,,,,,,,,0,0,0,0,
932,FALSE,,,,,,,,0,0,0,0,
933,FALSE,,,,,,,,0,0,0,0,
934,FALSE,,,,,,,,0,0,0,0,
935,FALSE,,,,,,,,0,0,0,0,
936,FALSE,,,,,,,,0,0,0,0,
937,FALSE,,,,,,,,0,0,0,0,
938,FALSE,,,,,,,,0,0,0,0,
939,FALSE,,,,,,,,0,0,0,0,
940,FALSE,,,,,,,,0,0,0,0,
941,FALSE,,,,,,,,0,0,0,0,
942,FALSE,,,,,,,,0,0,0,0,
943,FALSE,,,,,,,,0,0,0,0,
944,FALSE,,,,,,,,0,0,0,0,
945,FALSE,,,,,,,,0,0,0,0,
946,FALSE,,,,,,,,0,0,0,0,
947,FALSE,,,,,,,,0,0,0,0,
948,FALSE,,,,,,,,0,0,0,0,
949,FALSE,,,,,,,,0,0,0,0,
950,FALSE,,,,,,,,0,0,0,0,
951,FALSE,,,,,,,,0,0,0,0,
952,FALSE,,,,,,,,0,0,0,0,
953,FALSE,,,,,,,,0,0,0,0,
954,FALSE,,,,,,,,0,0,0,0,
955,FALSE,,,,,,,,0,0,0,0,
956,FALSE,,,,,,,,0,0,0,0,
957,FALSE,,,,,,,,0,0,0,0,
958,FALSE,,,,,,,,0,0,0,0,
959,FALSE,,,,,,,,0,0,0,0,
960,FALSE,,,,,,,,0,0,0,0,
961,FALSE,,,,,,,,0,0,0,0,
962,FALSE,,,,,,,,0,0,0,0,
963,FALSE,,,,,,,,0,0,0,0,
964,FALSE,,,,,,,,0,0,0,0,
965,FALSE,,,,,,,,0,0,0,0,
966,FALSE,,,,,,,,0,0,0,0,
967,FALSE,,,,,,,,0,0,0,0,
968,FALSE,,,,,,,,0,0,0,0,
969,FALSE,,,,,,,,0,0,0,0,
970,FALSE,,,,,,,,0,0,0,0,
971,FALSE,,,,,,,,0,0,0,0,
972,FALSE,,,,,,,,0,0,0,0,
973,FALSE,,,,,,,,0,0,0,0,
974,FALSE,,,,,,,,0,0,0,0,
975,FALSE,,,,,,,,0,0,0,0,
976,FALSE,,,,,,,,0,0,0,0,
977,FALSE,,,,,,,,0,0,0,0,
978,FALSE,,,,,,,,0,0,0,0,
979,FALSE,,,,,,,,0,0,0,0,
980,FALSE,,,,,,,,0,0,0,0,
981,FALSE,,,,,,,,0,0,0,0,
982,FALSE,,,,,,,,0,0,0,0,
983,FALSE,,,,,,,,0,0,0,0,
984,FALSE,,,,,,,,0,0,0,0,
985,FALSE,,,,,,,,0,0,0,0,
986,FALSE,,,,,,,,0,0,0,0,
987,FALSE,,,,,,,,0,0,0,0,
988,FALSE,,,,,,,,0,0,0,0,
989,FALSE,,,,,,,,0,0,0,0,
990,FALSE,,,,,,,,0,0,0,0,
991,FALSE,,,,,,,,0,0,0,0,
992,FALSE,,,,,,,,0,0,0,0,
993,FALSE,,,,,,,,0,0,0,0,
994,FALSE,,,,,,,,0,0,0,0,
995,FALSE,,,,,,,,0,0,0,0,
996,FALSE,,,,,,,,0,0,0,0,
997,FALSE,,,,,,,,0,0,0,0,
998,FALSE,,,,,,,,0,0,0,0,
999,FALSE,,,,,,,,0,0,0,0,
1000,FALSE,,,,,,,,0,0,0,0,
1001,FALSE,,,,,,,,0,0,0,0,
1002,FALSE,,,,,,,,0,0,0,0,
1003,FALSE,,,,,,,,0,0,0,0,
1004,FALSE,,,,,,,,0,0,0,0,
1005,FALSE,,,,,,,,0,0,0,0,
1006,FALSE,,,,,,,,0,0,0,0,
1007,FALSE,,,,,,,,0,0,0,0,
1008,FALSE,,,,,,,,0,0,0,0,
1009,FALSE,,,,,,,,0,0,0,0,
1010,FALSE,,,,,,,,0,0,0,0,
1011,FALSE,,,,,,,,0,0,0,0,
1012,FALSE,,,,,,,,0,0,0,0,
1013,FALSE,,,,,,,,0,0,0,0,
1014,FALSE,,,,,,,,0,0,0,0,
1015,FALSE,,,,,,,,0,0,0,0,
1016,FALSE,,,,,,,,0,0,0,0,
1017,FALSE,,,,,,,,0,0,0,0,
1018,FALSE,,,,,,,,0,0,0,0,
